	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates											
257	catherine roussey	TSCF Irstea Clermont-Ferrand	https://scholar.google.com/citations?hl=en&user=g4Kt8ZIAAAAJ	N/A	N/A	Plant2Pro	Plant2Pro											
258	Omid Poursaeed	"Research Scientist, Facebook AI"	https://scholar.google.com/citations?hl=en&user=Ugw9DX0AAAAJ	N/A	N/A	dlicornelltech	dlicornelltech											
259	Yukyung Choi (최유경)	"Assistant Professor, Sejong University"	https://scholar.google.com/citations?hl=en&user=vMrPtrAAAAAJ	https://twitter.com/yukyungchoi	https://twitter.com/yukyungchoi	annykchoi	annykchoi											
260	Inam Ullah Khan	"School of Engineering and Applied Sciences (SEAS), Isra University, Islamabad Campus"	https://scholar.google.com/citations?hl=en&user=NN-PHcIAAAAJ	N/A	N/A	N/A												
261	Xueheng Hu	Ph.D. University of Notre Dame	https://scholar.google.com/citations?hl=en&user=K0m62eEAAAAJ	N/A	N/A	N/A												
262	Matthew Guzdial	"Assistant Professor, University of Alberta"	https://scholar.google.com/citations?hl=en&user=jKqmTbIAAAAJ	https://twitter.com/MatthewGuz	https://twitter.com/MatthewGuz	matthewguz	matthewguz											
263	Dongwon Lee	"Instructor, Boston Children's Hospital and Harvard Medical School"	https://scholar.google.com/citations?hl=en&user=7oyAkKkAAAAJ	N/A	N/A	dongwon_lee	dongwon_lee	dongwonlee_us	imDongWon	bluerainbow07	yhowng	bittersweetdk	wind21c22	DongwonLee_US				
264	Hao DONG	"Ph.D., Wuhan University"	https://scholar.google.com/citations?hl=en&user=gC1ZxXUAAAAJ	https://twitter.com/RobinDong_	https://twitter.com/RobinDong_	mahaodong0118	tickingclock92	HaoDong123	_hdong	dong_hao14	ashtvjk	ukxsexy	salu133445	mahaodong0118	SotonBusiness	oppadaegu		
265	Parikshit Ram	IBM Research	https://scholar.google.com/citations?hl=en&user=JaXmmnkAAAAJ	N/A	N/A	pariktank	pariktank	suryahasyadav	zyh2022	reborn_unicorn	samantp	Realism_Update	nitroshan2	meparikshit	jaipuriap			
266	Tony Rodriguez	CTO Digimarc	https://scholar.google.com/citations?hl=en&user=CLNX438AAAAJ	N/A	N/A	digimarc	digimarc	TonyEquality	heynudge	rodriguezdraws	undermyskintat2	dolfan	TheTonyRodrig	iamtonyrod	TonyRodders	TonyRodriguez79		
267	Yao Qin	"Research Scientist, Google Brain"	https://scholar.google.com/citations?hl=en&user=z2UlHHUAAAAJ	https://twitter.com/yaoqinucsd	https://twitter.com/yaoqinucsd	yaoqinucsd	yaoqinucsd											
268	Mohamed Baker Alawieh	Synopsys	https://scholar.google.com/citations?hl=en&user=OqlZ0TgAAAAJ	https://twitter.com/bakeralawieh	https://twitter.com/bakeralawieh	BakerAlawieh	BakerAlawieh	hyazbeck	wajeb24	Kaffi_lb								
269	Adrian Benton	ML Engineer at Bloomberg LP	https://scholar.google.com/citations?hl=en&user=k9g68LwAAAAJ	https://mobile.twitter.com/_adrianbenton_	https://mobile.twitter.com/_adrianbenton_	N/A												
270	Ranjith Unnikrishnan	Lyft Level 5	https://scholar.google.com/citations?hl=en&user=lKvYBwkAAAAJ	N/A	N/A	N/A												
271	Gianpaolo Ghiani	"Professor of Operations Research, Università del Salento"	https://scholar.google.com/citations?hl=en&user=yyb5lLQAAAAJ	https://twitter.com/GianpaoloGhiani	https://twitter.com/GianpaoloGhiani	GianpaoloGhiani	GianpaoloGhiani											
272	Yuta Saito	Cornell University	https://scholar.google.com/citations?hl=en&user=pw4hwS8AAAAJ	N/A	N/A	usait0	usait0											
273	Cristian Yones	"Research institute for signals, systems and computational intelligence"	https://scholar.google.com/citations?hl=en&user=K4h-nvQAAAAJ	https://twitter.com/cyones77	https://twitter.com/cyones77	cyones77	cyones77											
274	Hikaru Yokono	Meisei University	https://scholar.google.com/citations?hl=en&user=HFp0oTIAAAAJ	https://mobile.twitter.com/hikaruy	https://mobile.twitter.com/hikaruy	hikaruy	hikaruy											
275	Pallab Datta	IBM Almaden Research Center	https://scholar.google.com/citations?hl=en&user=PUsfLhcAAAAJ	N/A	N/A	pallab_phy	PallabD51940041	pallab_phy	pallabdatta2587	pallab_datta	pallavdatta	pallabdattabd	niper_kolkata					
276	Denny Britz	Google	https://scholar.google.com/citations?hl=en&user=zZNKHdEAAAAJ	https://twitter.com/dennybritz	https://twitter.com/dennybritz	dennybritz	dennybritz											
277	A. H. Abdul Hafez	"Assistant Professor of Robotic Vision, Hasan Kalyoncu University"	https://scholar.google.com/citations?hl=en&user=81UGxdYAAAAJ	https://twitter.com/ahabdulhafez	https://twitter.com/ahabdulhafez	AHAbdulHafez	AHAbdulHafez	hkubilgisayar	hkueng	@HKUEng	ahabdulhafez	Saffron260	AbdulHafezAhme1	HafezItani	akabdelhafez			
278	Huayi Li	University of Illinois at Chicago	https://scholar.google.com/citations?hl=en&user=AKvz028AAAAJ	N/A	N/A	N/A												
279	Christopher J Gatti	Ronin Institute	https://scholar.google.com/citations?hl=en&user=QjLzInYAAAAJ	N/A	N/A	Chris_Gatti	Chris_Gatti	gattichris	_chrisgatti	realchrisgatti	22corleone22	Wolfroaster	ChristopherGatt	ChrisGatti	gatti516			
280	Álvaro Carrera Barroso	"Associate Professor at Intelligent Systems Group of Universidad Politécnica de Madrid, Spain"	https://scholar.google.com/citations?hl=en&user=mT3KgXUAAAAJ	https://twitter.com/alvarocarrera	https://twitter.com/alvarocarrera	alvarocarrera	alvarocarrera											
281	Maryam Rahnemoonfar	"Associate Professor, University of Maryland Baltimore County"	https://scholar.google.com/citations?hl=en&user=voOGgc4AAAAJ	N/A	N/A	karlsteiner11	karlsteiner11	lehighcee	UMBC	umbc	umbcinfosystems	KarlSteiner11	remotesens_mdpi					
282	Dmitriy Shutin	German Aerospace Center (DLR)	https://scholar.google.com/citations?hl=en&user=8x36NpkAAAAJ	N/A	N/A	N/A												
283	Joongmoo Byun	Hanyang University	https://scholar.google.com/citations?hl=en&user=ymgvITAAAAAJ	N/A	N/A	N/A												
284	Yasmeen M. George	Research Fellow - Faculty of IT at Monash University	https://scholar.google.com/citations?hl=en&user=URHQRGwAAAAJ	https://twitter.com/Yasmeen_George	https://twitter.com/Yasmeen_George	N/A												
285	Sakshi Jain	"University of California, Berkeley"	https://scholar.google.com/citations?hl=en&user=P1XH4nkAAAAJ	N/A	N/A	N/A												
286	Predrag Tosic	Eastern Washington University and Washington State University	https://scholar.google.com/citations?hl=en&user=6a4daLYAAAAJ	https://twitter.com/ptosic	https://twitter.com/ptosic	predragtosic2	PTosic	predragtosic2	Pedjolino12	ptosic	predragtosic	NezavisneBL	RioTravel1	predrag_rajsic				
287	Henry Martin	"Chair of Geoinformation Engineering, ETH Zurich"	https://scholar.google.com/citations?hl=en&user=Z27vls4AAAAJ	N/A	N/A	henrypassau	henrypassau											
288	Joel Hedlund	Linköping University	https://scholar.google.com/citations?hl=en&user=2yXYH4gAAAAJ	https://twitter.com/drjhedlund	https://twitter.com/drjhedlund	LiU_CMIV	LiU_CMIV	drjhedlund	kruttorr	TheeJoel	JoelHaillund	JHedlund74	JoelHedlund2	JoelHedlund	hedlundjoel	JoelHedlund5		
289	Youngjune Gwon	"Vice President, Samsung SDS"	https://scholar.google.com/citations?hl=en&user=sTCpJnkAAAAJ	N/A	N/A	ip9300	ip9300											
290	Or Biran	Elemental Cognition	https://scholar.google.com/citations?hl=en&user=fJQZVyAAAAAJ	https://mobile.twitter.com/_orbiran	https://mobile.twitter.com/_orbiran	richbrian	richbrian	_orbiran	richchigga	rbrianupdates	BrianBirming	amy_tabb						
291	Kaushik Sinha	Wichita State University	https://scholar.google.com/citations?hl=en&user=_jAhb40AAAAJ	N/A	N/A	kaushik_sinha_	ai_utsa	Kaushik10Sinha	kaushik_sinha_	sumansourav14	kaushiksinha00	kaushik801	sinha_kash	ksd_aiims	kaushiksinharo2	Kaushik12683625		
292	Caio Eadi Stringari	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=03E9NhEAAAAJ	N/A	N/A	N/A												
293	pat hayes	"Senior Scientist, Florida Institute for Human and Machine Cognition (IHMC)"	https://scholar.google.com/citations?hl=en&user=KgBamRYAAAAJ	N/A	N/A	pathayes4	realpathayes	PatHayes_	padohaodha	patrick_hayes	PatHaye67745536	bffd16	patkhayes_ire	P_Hayes	pathayes4	patrickahayes		
294	Jonathan Donier	"Senior Research Scientist, Spotify"	https://scholar.google.com/citations?hl=en&user=3hoYiLAAAAAJ	https://twitter.com/jjdonier	https://twitter.com/jjdonier	N/A												
295	Farshad Firouzi	Duke University	https://scholar.google.com/citations?hl=en&user=X7a38bAAAAAJ	N/A	N/A	N/A												
296	Andrea Loreggia	European University Institute	https://scholar.google.com/citations?hl=en&user=UM3WuDQAAAAJ	N/A	N/A	aloreggia	aloreggia											
297	Shivajirao Jadhav	"Professor, Information Technology Department, Dr. Babasaheb Ambedkar Technological University Lonere"	https://scholar.google.com/citations?hl=en&user=gK6Eq_UAAAAJ	https://twitter.com/ShivajiraoJadha	https://twitter.com/ShivajiraoJadha	N/A												
298	Miquel L. Alomar Barceló	Universitat de les Illes Balears	https://scholar.google.com/citations?hl=en&user=1yfFjoYAAAAJ	N/A	N/A	UIBuniversitat	UIBuniversitat	LookMallorca										
299	Marek Schikora	Bayer CropScience	https://scholar.google.com/citations?hl=en&user=P3HzV5wAAAAJ	https://twitter.com/marekschikora	https://twitter.com/marekschikora	MarekSchikora	MarekSchikora	marekschikora	basfagro									
300	Kuangdai Leng	"Senior Data Scientist, Rutherford Appleton Laboratory"	https://scholar.google.com/citations?hl=en&user=m_9Z7oEAAAAJ	N/A	N/A	N/A												
301	Omid Jahromi	"Sr Machine Learning Engineer, Belkin International Inc"	https://scholar.google.com/citations?hl=en&user=dT6oq6YAAAAJ	N/A	N/A	jahromimh	Omid07475108	omid2667	Omid_ahamadi	omid3d76	omidrezaghajar	omid_y1994	berejah	jahromimh	najafi_chmazkti			
302	Seok Bong Yoo	Chonnam National University	https://scholar.google.com/citations?hl=en&user=e4kpG_4AAAAJ	N/A	N/A	theseoulstory	yooyeonseok_ph	theseoulstory	Yeonseok411_IFC	yeonseok411_ifc	allkpop	KnamaDrama						
303	Felix Bragman	Babylon Health	https://scholar.google.com/citations?hl=en&user=0Qn2UvAAAAAJ	https://twitter.com/FelixJSB	https://twitter.com/FelixJSB	FelixJSB	FelixJSB											
304	Mateusz Baran	AGH University of Science and Technology	https://scholar.google.com/citations?hl=en&user=r_Z7hdQAAAAJ	https://twitter.com/BloCraSt	https://twitter.com/BloCraSt	N/A												
305	Roberto Antonio Becerra García	Universidad de Málaga	https://scholar.google.com/citations?hl=en&user=daakMTIAAAAJ	N/A	N/A	N/A												
306	Márcio Silva	Assistant Professor of Computer Science in the Federal University of Mato Grosso do Sul	https://scholar.google.com/citations?hl=en&user=XEh8i9sAAAAJ	N/A	N/A	mapsiva	mapsiva											
307	Meghyn Bienvenu	CNRS Researcher	https://scholar.google.com/citations?hl=en&user=xCZr-2oAAAAJ	N/A	N/A	N/A												
308	Xun Chen	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=70mGgQoAAAAJ	N/A	N/A	N/A												
309	Vibhor Sehgal	Graduate student at UC Berkeley	https://scholar.google.com/citations?hl=en&user=9akMPmsAAAAJ	https://twitter.com/VibhorSehgal3	https://twitter.com/VibhorSehgal3	N/A												
310	Marko Bohanec	"Chief researcher, founder at Salvirt ltd."	https://scholar.google.com/citations?hl=en&user=SyhpI1sAAAAJ	https://twitter.com/MarkoBohanec	https://twitter.com/MarkoBohanec	KnowledgeTechn2	KnowledgeTechn2	MarkoBohanec	c_heavin									
311	Feng Chen	"Department of Computer Science, UT Dallas"	https://scholar.google.com/citations?hl=en&user=KOQ-SSYAAAAJ	N/A	N/A	fengchen85	surajkothawade	utswpediatrics	simbaforrest	superslim66	fengchenwang	niustrategy	linsiyi1993	fft	hudson9929	fengche93469753		
312	Sascha Roloff	Robert Bosch GmbH	https://scholar.google.com/citations?hl=en&user=P-8zrioAAAAJ	N/A	N/A	sascharoloff	sascharoloff											
313	Amitava Gangopadhyay	Information Technology Industries	https://scholar.google.com/citations?hl=en&user=86iP8VEAAAAJ	N/A	N/A	amitavaganguli	abhay_vaidya	amitavaganguli										
314	Yashpalsing Chavhan	Assistant Professor GCE Karad	https://scholar.google.com/citations?hl=en&user=tRJUkq4AAAAJ	N/A	N/A	N/A												
315	Alvaro Cortes Cabrera	Computational Chemist	https://scholar.google.com/citations?hl=en&user=lGAHZ6sAAAAJ	N/A	N/A	Jorge___Cabrera	alvaro_delgado	alonsoxk93	cabreratwi	Jorge___Cabrera	lvaroMedina2	difrancocomics	leonciosv					
316	Hau Chan	"Assistant Professor, University of Nebraska-Lincoln"	https://scholar.google.com/citations?hl=en&user=R1w52RIAAAAJ	N/A	N/A	chanhauching1	UNLComputing	DataScientistsN	chanhauching1	Chan_Tyanhau	celine_hau	hondanhon	kcdermatologist					
317	Vishwa Kumar	Stuart School of Business | Illinois Institute of Technology-Chicago	https://scholar.google.com/citations?hl=en&user=pfxFwkYAAAAJ	N/A	N/A	vishwavkumar	lineshpatel6	vishwa_me	vishwavkumar	vishwak66399470	Vishwa_me	vishwa_85	vish2501	vishwak36301623	Cvkumar05565718	CharVishwa		
318	Atri Dutta	"Associate Professor, Aerospace Engineering, Wichita State University"	https://scholar.google.com/citations?hl=en&user=-Ewv_iEAAAAJ	https://twitter.com/AtriDutta	https://twitter.com/AtriDutta	atridutta	atridutta	AtriDutta	dr_atri2	AtriDatta	atri_dutt	atri05	thestaratri					
319	Yuan Xie	Stanford Department of Radiology	https://scholar.google.com/citations?hl=en&user=Epc9hsYAAAAJ	N/A	N/A	N/A												
320	Panos Dafas	Fulcrum Asset Management	https://scholar.google.com/citations?hl=en&user=y4q1txsAAAAJ	N/A	N/A	N/A												
321	Ivan Bolesta / Іван Болеста	"Ivan Franko National University of Lviv, Львівський національний університет імені Івана Франка"	https://scholar.google.com/citations?hl=en&user=3A7ZKQcAAAAJ	N/A	N/A	N/A												
322	Ying QIN	"Department of Computer Science, Beijing Foreign Studies University"	https://scholar.google.com/citations?hl=en&user=Cum7cAkAAAAJ	N/A	N/A	qinyingisme	qinyingisme	juyangnju	ying000925	yingcelesteqin	yingqin04273987	1446479742	ygent_official					
323	Masuma Mammadova	"Institute of Information Technology, Azerbaijan National Academy of Sciences"	https://scholar.google.com/citations?hl=en&user=EfEWyaIAAAAJ	N/A	N/A	N/A												
324	Mustafa Mumtaz	National University of Sciences and Technology	https://scholar.google.com/citations?hl=en&user=tenhlTYAAAAJ	N/A	N/A	mustafamumtaz	mustafamumtaz	mmustafa123	akgungor_c	mumtazmustafa1	jurist_pk	iammumtaz90						
325	Tarek Gaber	"Associate Prof. @ Suez Canal University, EG, Lecturer in Software Engineering, University of Salford"	https://scholar.google.com/citations?hl=en&user=a9glOYUAAAAJ	N/A	N/A	orcid_org	orcid_org											
326	Bruce Culbertson	retired	https://scholar.google.com/citations?hl=en&user=orYtLw4AAAAJ	N/A	N/A	bruce33152	bruce33152	chantheman4	buffetbruce	salkeijzers	BruceChoate	MotherJusticeBK	heatherlee	MarkKY58521944	arizonacoyotes	brianculbertso5		
327	Abdul Rehman	"Bartol Research Institute, Department of Physics and Astronomy, University of Delaware, Newark, DE"	https://scholar.google.com/citations?hl=en&user=hcu4igcAAAAJ	N/A	N/A	UOS_edu	UOS_edu	FPL_Salah	SenRehmanMalik	AbdulRehmanCC	AliRehmanMalik3	UmarRehmanMalik	Ar_rahmann	Rehman36Abdul	arehmanbutt	extrovert_malik		
328	Maxine Tan	Monash University Malaysia	https://scholar.google.com/citations?hl=en&user=LY0_5AMAAAAJ	N/A	N/A	avareil	avareil	Jaamaal_Nasir										
329	Josep LLuis Arcos	"Research Scientist, Artificial Intelligence Research Institute (IIIA-CSIC)"	https://scholar.google.com/citations?hl=en&user=UVFnVIUAAAAJ	N/A	N/A	N/A												
330	Rojin Safavi	UC Santa Cruz Genomics Institute	https://scholar.google.com/citations?hl=en&user=M7BW92EAAAAJ	https://twitter.com/rojinsafavi	https://twitter.com/rojinsafavi	N/A												
331	Sara Sabour	"Brain, Google"	https://scholar.google.com/citations?hl=en&user=l8wQ39EAAAAJ	https://twitter.com/sabour_sara	https://twitter.com/sabour_sara	N/A												
332	Ben Williams	"Researcher, Plymouth University"	https://scholar.google.com/citations?hl=en&user=-kdzhXIAAAAJ	N/A	N/A	N/A												
333	David Medina-Ortiz	PhD Universidad de Chile	https://scholar.google.com/citations?hl=en&user=Mu139UwAAAAJ	N/A	N/A	udemagallanes	udemagallanes											
334	Rexiline Ragani John Victor	Hindustan University	https://scholar.google.com/citations?hl=en&user=lRx0ob4AAAAJ	N/A	N/A	N/A												
335	Anthony Siming Chen	University of Bristol	https://scholar.google.com/citations?hl=en&user=uAHIA1wAAAAJ	N/A	N/A	intent	intent											
336	Fabian B. Fuchs	University of Oxford	https://scholar.google.com/citations?hl=en&user=nqQdwhsAAAAJ	https://twitter.com/fabianfuchsml	https://twitter.com/fabianfuchsml	FabianFuchsML	FabianFuchsML	fabianfuchsml	martinengelcke	wendypo08255280	StefanSaftescu	fatemeh76291009	alexbewleyai					
337	Liangliang Nan	"Assistant Professor, Delft University of Technology"	https://scholar.google.com/citations?hl=en&user=2ONN8tUAAAAJ	N/A	N/A	TheCGALProject	TheCGALProject											
338	David J. Berg	"Senior Software Engineer, Machine Learning Infrastructure, Netflix"	https://scholar.google.com/citations?hl=en&user=D5GLRR8AAAAJ	N/A	N/A	ddbergMD	ddbergMD	ddbergmd	shanteehee	agonigberg	davidberg_26	ElectDavidBerg	DaveBergSP	davidberg10	bergd37			
339	Dai YAO	Associate Professor of Marketing	https://scholar.google.com/citations?hl=en&user=maXjPQwAAAAJ	N/A	N/A	mounttai	mounttai											
340	Vansh Makh	Balbix Inc.	https://scholar.google.com/citations?hl=en&user=yXstB1cAAAAJ	https://twitter.com/vanshmakh	https://twitter.com/vanshmakh	vanshmakh	vanshmakh	vinaysridhara	sudhirkothari03	manojasnani	odedtzur							
341	Javier Vales	Technical University of Cartagena	https://scholar.google.com/citations?hl=en&user=pSVZN5IAAAAJ	https://twitter.com/jvalesf	https://twitter.com/jvalesf	javovg	javovg	JavoVG	jvf1978	JAVIERVALES3	javitovales	elconfesorreal	javierdevalg	jvalalonso	javierval20	fakiko		
342	Arunava Chakravarty	Postdoc Medical University of Vienna; Research Consultant IIT Kharagpur; Phd IIIT Hyderabad	https://scholar.google.com/citations?hl=en&user=Tk2svbAAAAAJ	https://twitter.com/ArunavaChakrav1	https://twitter.com/ArunavaChakrav1	arunavc	arunavc	ArunavaChakrav1	cool_arunav	AunindyoC	arunava	aaikolairport						
343	"Hamid Reza Tohidypour, PhD"	"University of British Columbia, Electrical and Computer Engineering Dept."	https://scholar.google.com/citations?hl=en&user=ur0t32AAAAAJ	N/A	N/A	N/A												
344	Florent Brunet	"Postdoc in Computer Science, Institut de Recherche en Informatique de Toulouse"	https://scholar.google.com/citations?hl=en&user=HXDdWZUAAAAJ	N/A	N/A	FlorianBrunet78	FlorianBrunet78	thealmonddoctor	beeftac	florentbrunet3	babathl	datacitron	Aurel1du64	flotrouillas	fsciberras	florentplanard		
345	Md Nazrul Islam	"Associate Professor, King Faisal University, Saudi Arabia"	https://scholar.google.com/citations?hl=en&user=A5kdzN4AAAAJ	N/A	N/A	N/A												
346	Zhonghao Wang	"PhD Candidate of Computer Engineering, UIUC"	https://scholar.google.com/citations?hl=en&user=opL6CL8AAAAJ	https://twitter.com/wzhonghao000	https://twitter.com/wzhonghao000	wzhonghao000	wzhonghao000	ZhonghaoW	Zhonghaoww	BenGewurz	arXiv_Daily							
347	Szymon Rusinkiewicz	"Princeton University, Department of Computer Science"	https://scholar.google.com/citations?hl=en&user=RaScARwAAAAJ	N/A	N/A	Princeton	Princeton	PrincetonCS	johnwilander	_anshulkhare								
348	Oto Araújo Vale	"Professor Computational Linguistics, Universidade Federal de São Carlos"	https://scholar.google.com/citations?hl=en&user=UE4-SmAAAAAJ	N/A	N/A	o_betoaraujo	MaisADUFSCar	o_betoaraujo	mustruia18	RenanMina	odilima							
349	Vimal Chandran	GE Heathcare	https://scholar.google.com/citations?hl=en&user=ihDoKwUAAAAJ	https://twitter.com/vimalcme	https://twitter.com/vimalcme	vimalc	vimalc	Vimalcme	GPazhanimala	shanndavis_	antonio51323740	cafe_papaya	vimalchandran					
350	Asifullah Khan	"Department of Computer and Information Sciences, PIEAS, Pakistan"	https://scholar.google.com/citations?hl=en&user=C8uhO88AAAAJ	N/A	N/A	ASIFULLAH_KHAN7	ASIFULLAH_KHAN7	KhanAsifu	impakkhann	Asifull58909826	khan_asifullah	marwatsaab	Asifull04708564	GlasbyMaritza	Asifonwheels	sokhtun		
351	Yair Alon (prev. Movshovitz-Attias)	Google Research	https://scholar.google.com/citations?hl=en&user=Kd1_AzgAAAAJ	N/A	N/A	N/A												
352	Jeremy M Cohen	"PhD student, Carnegie Mellon University"	https://scholar.google.com/citations?hl=en&user=r493814AAAAJ	https://twitter.com/deepcohen	https://twitter.com/deepcohen	deepcohen	deepcohen	TheCohencidence	RedNoseJeremy	jeremyfcohen	drjerbs	Cohen_28	jeremycohen0	Sportydoc1	cohenjeremy	JeremyCohen14		
353	Matthew McBee	"Data Scientist, Eastman Chemical Company"	https://scholar.google.com/citations?hl=en&user=n6P6MCEAAAAJ	https://twitter.com/tunneloffire	N/A	McBeeLaw	McBeeLaw	ContMedEdu_ETSU	DoctorErinCat	mattmcbee4	BeechwoodBands	BSpringsJames						
354	Suat Gumussoy	Siemens Technology	https://scholar.google.com/citations?hl=en&user=yW-r4J8AAAAJ	https://twitter.com/SuatGumussoy	https://twitter.com/SuatGumussoy	SuatGumussoy	SuatGumussoy	suat_0606	suat_gumussoy	gumussoy_suat								
355	Oksam Chae	Kyunghee University	https://scholar.google.com/citations?hl=en&user=LvF6Ie8AAAAJ	N/A	N/A	oschae	oschae											
356	Yang Chen	Case Western Reserve University	https://scholar.google.com/citations?hl=en&user=F2jp4HAAAAAJ	N/A	N/A	N/A												
357	Daniel Zhengyu Huang	California Institute of Technology	https://scholar.google.com/citations?hl=en&user=K9rteNIAAAAJ	N/A	N/A	N/A												
358	Sadanand Singh	whiterabbit.ai	https://scholar.google.com/citations?hl=en&user=rSMYeYEAAAAJ	https://twitter.com/reckoningdev	N/A	reckoningdev	reckoningdev											
359	Isabell Kiral	Amazon Web Services	https://scholar.google.com/citations?hl=en&user=VrHnu58AAAAJ	https://twitter.com/isa_kiko	https://twitter.com/isa_kiko	isa_kiko	isa_kiko	DayofAIAustral1	GDGMelbourne	emcrbrainau	mahtabm81	neuroethicsau	DrEmmaGallaher	gdgmelbourne				
360	Fernando Lopez Irarragorri	"Research Professor of Operations Research, Universidad Autonoma de Nuevo Leon, FIME, UANL"	https://scholar.google.com/citations?hl=en&user=pCXuLtYAAAAJ	N/A	N/A	uanl	uanl											
361	Mohak Gupta	"Internal Medicine, Cleveland Clinic Main Campus, USA"	https://scholar.google.com/citations?hl=en&user=tP6tN-YAAAAJ	https://twitter.com/xmohakgupta	https://twitter.com/xmohakgupta	xMohakGupta	xMohakGupta	mohak_gupta20	moHawk_16	xmohakgupta	g_mohak							
362	Paidamoyo Chapfuwa	Stanford University	https://scholar.google.com/citations?hl=en&user=aPFR6-AAAAAJ	N/A	N/A	chapfuwa	chapfuwa											
363	"Omar Falou, PhD"	Ryerson University	https://scholar.google.com/citations?hl=en&user=QugrtBgAAAAJ	https://twitter.com/ofalou	https://twitter.com/ofalou	ofalou	ofalou	sojahrood										
364	Fang-Chieh Chou	"Tech Lead Manager, Aurora Innovation"	https://scholar.google.com/citations?hl=en&user=aenlXyEAAAAJ	https://twitter.com/FangChieh_Chou	https://twitter.com/FangChieh_Chou	N/A												
365	Yujian Ye	Southeast University and Imperial College London	https://scholar.google.com/citations?hl=en&user=qTfzIjUAAAAJ	N/A	N/A	yujian_ye	yujian_ye											
366	Rianne van den Berg	"senior researcher, Microsoft Research"	https://scholar.google.com/citations?hl=en&user=KARgiboAAAAJ	https://twitter.com/vdbergrianne	https://twitter.com/vdbergrianne	vdbergrianne	vdbergrianne	intent										
367	Francesca Uccheddu	Università di Padova	https://scholar.google.com/citations?hl=en&user=YcXfTE0AAAAJ	N/A	N/A	N/A												
368	Hans Meine	University of Bremen & Fraunhofer MEVIS	https://scholar.google.com/citations?hl=en&user=3p5J60kAAAAJ	N/A	N/A	fraunhofermevis	fraunhofermevis											
369	Andreas Bell Martinsen	"Department of Engineering Cybernetics, Norwegian University of Science and Technology"	https://scholar.google.com/citations?hl=en&user=ja4OhD0AAAAJ	N/A	N/A	ntnu	ntnu											
370	Richard Morris	"Translational datascientist, University of Sydney"	https://scholar.google.com/citations?hl=en&user=tiZ-MCgAAAAJ	N/A	N/A	N/A												
371	A. Cuneyd Tantug	"Assoc. Prof. Dr., Istanbul Technical University Faculty of Computer and Informatics"	https://scholar.google.com/citations?hl=en&user=TTawdWMAAAAJ	https://twitter.com/cuneydtantug	https://twitter.com/cuneydtantug	cuneydtantug	cuneydtantug											
372	Arantza Aldea	Senior Lecturer in Computing Oxford Brookes University	https://scholar.google.com/citations?hl=en&user=fluUHQQAAAAJ	N/A	N/A	N/A												
373	Chunbo Lang (郎春博)	"PhD student, Northwestern Polytechnical University"	https://scholar.google.com/citations?hl=en&user=gN7DIt0AAAAJ	N/A	N/A	N/A												
374	Yuen Yee Lo	Research scientist	https://scholar.google.com/citations?hl=en&user=I4HfvtkAAAAJ	N/A	N/A	N/A												
375	Tomasz Kornuta	Sr. Applied Research Scientist @ NVIDIA	https://scholar.google.com/citations?hl=en&user=8BcPJT4AAAAJ	https://twitter.com/TomaszKornuta	https://twitter.com/TomaszKornuta	TomaszKornuta	TomaszKornuta	tomko233										
376	Augusto Salazar	Professor at Universidad de Antioquia	https://scholar.google.com/citations?hl=en&user=0bLi52AAAAAJ	N/A	N/A	N/A												
377	Miłosław Smyk	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=_ieB9DAAAAAJ	N/A	N/A	N/A												
378	John Slankas	"PhD Candidate, North Carolina State University"	https://scholar.google.com/citations?hl=en&user=F4FlJmEAAAAJ	https://mobile.twitter.com/johnslankas	https://mobile.twitter.com/johnslankas	N/A												
379	Tamal Ghosh	"Scientific Researcher, NTNU i Gjøvik"	https://scholar.google.com/citations?hl=en&user=vOmC9A0AAAAJ	N/A	N/A	N/A												
380	Arnau Serra-Cayuela	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=XieQveUAAAAJ	N/A	N/A	N/A												
381	Satyajeet Khare	"Assistant Professor, Symbiosis School of Biological Sciences, Symbiosis International University"	https://scholar.google.com/citations?hl=en&user=pJZ1z4kAAAAJ	https://twitter.com/satyajeetkhare	https://twitter.com/satyajeetkhare	N/A												
382	Partha Talukdar	Google Research and IISc Bangalore	https://scholar.google.com/citations?hl=en&user=CIZwXAcAAAAJ	https://twitter.com/partha_p_t	https://twitter.com/partha_p_t	partha_p_t	partha_p_t	ParthaPratimta7	parthat88422989	ParthaTalukda18	parthapratim162	talukdar_10	IiscNlp					
383	Dekang Lin	"Senior Staff Research Scientist, Google"	https://scholar.google.com/citations?hl=en&user=VvdtcWcAAAAJ	N/A	N/A	N/A												
384	Nan Xu	Institute of Automation Chinese Academy of Sciences	https://scholar.google.com/citations?hl=en&user=oJcp__wAAAAJ	N/A	N/A	NanXuRattanason	NanXuRattanason	nanxurattanason	xn20131020_xu	xunan2005	xunannancy	lx_xunan						
385	Yushi Chen	哈尔滨工业大学	https://scholar.google.com/citations?hl=en&user=A39S7JgAAAAJ	N/A	N/A	chenyushi	chenyushi	Chenyushi	ulivolz	whuxiw	frontrsens							
