	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates											
53	Benny Lo	Imperial College London	https://scholar.google.com/citations?hl=en&user=zRd3g5cAAAAJ	https://twitter.com/bennyplo	https://twitter.com/bennyplo	bennyplo	bennyplo	Therealbennylo	BennyGone	BennyIbLoL	microcuento99	LoDucaBenny	BennyCascio	BennyLo75064401	BennyLo50	BennyLo91733253		
54	"Muhammad R Abid, Assistant Professor"	"Florida Polytechnic University, Lakeland, Florida, USA"	https://scholar.google.com/citations?hl=en&user=OwX8elAAAAAJ	N/A	N/A	flpolyu	flpolyu											
55	David S. Batista	Senior NLP Engineer - Comtravo GmbH	https://scholar.google.com/citations?hl=en&user=-tRNGd0AAAAJ	https://twitter.com/davidsbatista	https://twitter.com/davidsbatista	davidsbatista	davidsbatista											
56	hasan nasiri	Imam Khomeini International University	https://scholar.google.com/citations?hl=en&user=DXAPymYAAAAJ	N/A	N/A	N/A												
57	Yang Gao	"Nanjing University, China"	https://scholar.google.com/citations?hl=en&user=k0jjQo8AAAAJ	N/A	N/A	gao_young	gao_young	gytyw	AlexGaoYang	gby12009	crimsonyang	Yang_Aotearoa	gyang_21	truebluegy	ZiniuLi			
58	"Adrienne Grzenda, MD, PhD"	"UCLA/DGSOM & UCLA/OVMC, HS Clinical Assistant Professor of Psychiatry"	https://scholar.google.com/citations?hl=en&user=DjdQ2s8AAAAJ	https://twitter.com/agrzendamdphd	https://twitter.com/agrzendamdphd	AGrzendaMDPHD	AGrzendaMDPHD											
59	Nathaniel Odell	"Postdoctoral researcher, High Energy Physics, Northwestern University"	https://scholar.google.com/citations?hl=en&user=mq7PhfsAAAAJ	N/A	N/A	N8Odell	N8Odell	NathanielODell2	nathanieljohn23	rxodell	EaglesWhs	bynateulrich	ByNateUlrich					
60	Yujia Xie	"Researcher in machine learning, Microsoft"	https://scholar.google.com/citations?hl=en&user=r2FiAE4AAAAJ	N/A	N/A	yujiaxie	XieYujia000	yujiaxie	RLtheory	yujiaxie2								
61	Anup Parikh	Sandia National Laboratories	https://scholar.google.com/citations?hl=en&user=FC8lFhQAAAAJ	N/A	N/A	AParikhMD	AParikhMD	aparikhmd	AnupMeetsWorld	anupmeetsworld	parikh_anup							
62	Zied Bouraoui	"Professor of Computer Science, CRIL CNRS & Artois University"	https://scholar.google.com/citations?hl=en&user=f_6RpYEAAAAJ	N/A	N/A	bouraoui_zied	bouraoui_zied											
63	Alexandru Cristian Mara	"PhD Candidate, Ghent University"	https://scholar.google.com/citations?hl=en&user=Vx-o-igAAAAJ	N/A	N/A	druitter	druitter											
64	Parag Namjoshi	Uber	https://scholar.google.com/citations?hl=en&user=hltYPm0AAAAJ	https://twitter.com/paragnamjoshi	https://twitter.com/paragnamjoshi	ParagNamjoshi	ParagNamjoshi											
65	Chayan Halder	"Assistant Professor, Ramakrishna Mission Vivekananda Centenary College, Rahara"	https://scholar.google.com/citations?hl=en&user=RusSh00AAAAJ	N/A	N/A	chayanh92894641	chayanh92894641	ChayanH25380729	chayanh15629356	chayanh51470588	ChayanH31151532	chayanhalder19	chayanh55674514	Deepchayan	ChayanH92894641			
66	Amir Sadovnik	"Assistant Professor of Computer Science, University of Tennessee"	https://scholar.google.com/citations?hl=en&user=OBuu9_YAAAAJ	N/A	N/A	N/A												
67	Eduardo Valle	"Faculty of Electrical and Computing Engineering (FEEC), University of Campinas (UNICAMP)"	https://scholar.google.com/citations?hl=en&user=lxWPqWAAAAAJ	https://twitter.com/dreavjr	https://twitter.com/dreavjr	_eduardo_valle	dreavjr	eduardojvalle	evallesv	eddyvallelobo	j_eduardo_valle	endson_valle	_eduardo_valle	kevin_valle0108	crisvalle4	farrae		
68	Filip Korzeniowski	Pandora Media	https://scholar.google.com/citations?hl=en&user=p7rD9oMAAAAJ	https://twitter.com/fdelamuerte	https://twitter.com/fdelamuerte	fdelamuerte	fdelamuerte	Bonon410	FilipKorzeniow1	filipkorzen								
69	Lingni Ma	Facebook Reality Labs	https://scholar.google.com/citations?hl=en&user=eUAgpwkAAAAJ	N/A	N/A	N/A												
70	Dean Slawson	"VP Advanced Technology, PointClickCare"	https://scholar.google.com/citations?hl=en&user=91uZDo0AAAAJ	N/A	N/A	AndySlawson	AndySlawson											
71	Piotr Kozakowski	University of Warsaw	https://scholar.google.com/citations?hl=en&user=QkYiDCwAAAAJ	N/A	N/A	N/A												
72	Fabio Cumbo	"Department of Cellular, Computational and Integrative Biology (CIBIO), University of Trento"	https://scholar.google.com/citations?hl=en&user=DJWJY7EAAAAJ	https://twitter.com/cumbofabio	https://twitter.com/cumbofabio	cumbofabio	cumbofabio											
73	Rosalia Maglietta	"Researcher, STIIMA, National Research Council"	https://scholar.google.com/citations?hl=en&user=wSm74SkAAAAJ	N/A	N/A	LiaMaglietta	LiaMaglietta											
74	Yaochen Xie	"Ph.D. Student, Texas A&M University"	https://scholar.google.com/citations?hl=en&user=Xw3ZjnMAAAAJ	https://twitter.com/ethan_ycx	https://twitter.com/ethan_ycx	Ethan_ycx	Ethan_ycx	XieYaochen	YaochenXIE									
75	Bingyi Cao	Google Research	https://scholar.google.com/citations?hl=en&user=7EeSOcgAAAAJ	N/A	N/A	N/A												
76	Brian Telfer	"Senior Staff Member, MIT Lincoln Laboratory"	https://scholar.google.com/citations?hl=en&user=LOElwBwAAAAJ	https://twitter.com/BrianTelfer5	https://twitter.com/BrianTelfer5	Brian_TCtravel	Brian_TCtravel	brian_tctravel	AllMattNYT	BrianDTelfer								
77	Jose Alberto Perez Benitez	ESIME-SEPI-IPN	https://scholar.google.com/citations?hl=en&user=2i2TyJsAAAAJ	N/A	N/A	N/A												
78	Antonio Criminisi	Research Manager at Amazon	https://scholar.google.com/citations?hl=en&user=YHmzvmMAAAAJ	N/A	N/A	ACriminisi72	ACriminisi72	criminisi63										
79	Yue Tong	"OSIsoft, LLC"	https://scholar.google.com/citations?hl=en&user=_JJHW0EAAAAJ	N/A	N/A	yuetongqian	yuetongqian	polaaaaar	Piruppii	tongyue_ivy	yue_eveland	yuetong3yu	tongyue10	artofyuetong	Yue_Eveland			
80	Gitta Kutyniok	"Bavarian AI Chair for Mathematical Foundations of Artificial Intelligence, LMU Munich"	https://scholar.google.com/citations?hl=en&user=JHs9LssAAAAJ	https://twitter.com/gittakutyniok	https://twitter.com/gittakutyniok	gittakutyniok	gittakutyniok	SpringerMath	GittaKutyniok									
81	Yinan Zhao	University of Texas at Austin	https://scholar.google.com/citations?hl=en&user=6Kyp7rQAAAAJ	N/A	N/A	badhreat	badhreat	mattiarigotti	zhaoyinan	StevenChao95	TomOrlik	jenniferdoleac						
82	Moshe Lichman	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=K7gF978AAAAJ	N/A	N/A	LichmanMo	LichmanMo											
83	Marta Galende	Researcher ID - CARTIF	https://scholar.google.com/citations?hl=en&user=t4HI79kAAAAJ	https://twitter.com/margal_cartif	https://twitter.com/margal_cartif	margal_cartif	margal_cartif	Marian_Gallego	ptouya	TransformTransp	disruptiveeu							
84	Mahdad Eghbalian	"Postdoctoral Associate, University of Calgary"	https://scholar.google.com/citations?hl=en&user=BT-GEcUAAAAJ	N/A	N/A	MahdadEghbalian	MahdadEghbalian											
85	Di You	Worcester Polytechnic Institute	https://scholar.google.com/citations?hl=en&user=uWFATKcAAAAJ	N/A	N/A	N/A												
86	Jerome Kodjabachian	Thales	https://scholar.google.com/citations?hl=en&user=OYto1KIAAAAJ	N/A	N/A	JeromeKodja	JeromeKodja											
87	Stephen DiVerdi	Adobe	https://scholar.google.com/citations?hl=en&user=G8dMSvAAAAAJ	N/A	N/A	N/A												
88	Md Abdullah Al Hafiz Khan	"Assistant Professor, Department of Compute Science, Kennesaw State University"	https://scholar.google.com/citations?hl=en&user=JFZc5jYAAAAJ	https://twitter.com/ahafizk20	https://twitter.com/ahafizk20	@ahafizk20	@ahafizk20											
89	Gurunath Kedar-Dongarkar	Oakland University	https://scholar.google.com/citations?hl=en&user=JLTRU8UAAAAJ	N/A	N/A	N/A												
90	Hamid Hamraz	Microsoft	https://scholar.google.com/citations?hl=en&user=4tPap1YAAAAJ	N/A	N/A	N/A												
91	David Begert	"Lead Machine Learning Engineer, Xtract ai"	https://scholar.google.com/citations?hl=en&user=iTUn4mUAAAAJ	N/A	N/A	jackbegert	jackbegert											
92	Scott Martin	Facebook	https://scholar.google.com/citations?hl=en&user=t2_BvUwAAAAJ	N/A	N/A	smartin_scott	smartin_scott	meganeabbott	srmbass	scottymarkets	ScottFMartin	drscottamartin	Scott_MartinTV	scottmartin85	scottcmartin	coachsmartin310		
93	Mohammad Moradi	Young Researchers and Elite Club	https://scholar.google.com/citations?hl=en&user=nLm8zfQAAAAJ	https://twitter.com/moradideli	https://twitter.com/moradideli	Mohamma56611864	Mohamma56611864	moradjava	ISefati	noterfan	mohamma31379645	moradideli	2221mohammad	IranIntl_En	Mohamma38829193			
94	Ali Saadon Al-Ogaili	Postdoctoral Researcher	https://scholar.google.com/citations?hl=en&user=JxMcRcwAAAAJ	N/A	N/A	SaadonOgaili	SaadonOgaili											
95	Michel Tokic	"Siemens AG, Munich"	https://scholar.google.com/citations?hl=en&user=IkrRAAIAAAAJ	N/A	N/A	MichelTokic	MichelTokic	TokicMichel										
96	Giovanni Acampora	"Professor in Computer Science, University of Naples Federico II"	https://scholar.google.com/citations?hl=en&user=VLpaWf8AAAAJ	https://twitter.com/g_acampora	https://twitter.com/g_acampora	giovanniacampo7	GiovanniAcampo7	giovanniacampo7	g_acampora	giovanniacampo4								
97	Berdakh Abibullaev	"School of Engineering and Digital Sciences, Nazarbayev University"	https://scholar.google.com/citations?hl=en&user=KvECkz0AAAAJ	N/A	N/A	theberdakh	theberdakh											
98	Xi Cheng	"Google, University of Washington"	https://scholar.google.com/citations?hl=en&user=3SSDRtoAAAAJ	https://twitter.com/xicheng33	https://twitter.com/xicheng33	xichengweek	terenceccheng	lucyluwang	harleypan86	pengxin218	carryveggies	fengshouzai	Zening_Duan	chengevelyn	roofkittyxc	XiCheng33		
99	Alexander Ihler	"University of California, Irvine"	https://scholar.google.com/citations?hl=en&user=ffdt7gMAAAAJ	N/A	N/A	N/A												
100	Nassim Ammour	Associate Professor	https://scholar.google.com/citations?hl=en&user=2dHuim4AAAAJ	N/A	N/A	N/A												
