	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates									
58	"Adrienne Grzenda, MD, PhD"	"UCLA/DGSOM & UCLA/OVMC, HS Clinical Assistant Professor of Psychiatry"	https://scholar.google.com/citations?hl=en&user=DjdQ2s8AAAAJ	https://twitter.com/agrzendamdphd	https://twitter.com/agrzendamdphd	AGrzendaMDPHD	AGrzendaMDPHD									
59	Nathaniel Odell	"Postdoctoral researcher, High Energy Physics, Northwestern University"	https://scholar.google.com/citations?hl=en&user=mq7PhfsAAAAJ	N/A	N/A	N8Odell	N8Odell	NathanielODell2	nathanieljohn23	n8odell	RxODell	EaglesWhs				
60	Yujia Xie	"Researcher in machine learning, Microsoft"	https://scholar.google.com/citations?hl=en&user=r2FiAE4AAAAJ	N/A	N/A	N/A	RLtheory									
61	Anup Parikh	Sandia National Laboratories	https://scholar.google.com/citations?hl=en&user=FC8lFhQAAAAJ	N/A	N/A	AParikhMD	AParikhMD	AnupMeetsWorld	anupmeetsworld	aparikhmd	parikh_anup					
62	Zied Bouraoui	"Professor of Computer Science, CRIL CNRS & Artois University"	https://scholar.google.com/citations?hl=en&user=f_6RpYEAAAAJ	N/A	N/A	bouraoui_zied	bouraoui_zied									
63	Alexandru Cristian Mara	"PhD Candidate, Ghent University"	https://scholar.google.com/citations?hl=en&user=Vx-o-igAAAAJ	N/A	N/A	Druitter	Druitter									
64	Parag Namjoshi	Uber	https://scholar.google.com/citations?hl=en&user=hltYPm0AAAAJ	https://twitter.com/paragnamjoshi	https://twitter.com/paragnamjoshi	ParagNamjoshi	ParagNamjoshi									
65	Chayan Halder	"Assistant Professor, Ramakrishna Mission Vivekananda Centenary College, Rahara"	https://scholar.google.com/citations?hl=en&user=RusSh00AAAAJ	N/A	N/A	chayanh51470588	chayanh92894641	chayanh51470588	chayanh15629356	ChayanH25380729	ChayanH31151532	chayanhalder19	chayanh55674514	Chayan_oo7		
66	Amir Sadovnik	"Assistant Professor of Computer Science, University of Tennessee"	https://scholar.google.com/citations?hl=en&user=OBuu9_YAAAAJ	N/A	N/A	uthumanitiesctr	uthumanitiesctr	utkceems	lynnlhodge	LynnLHodge						
67	Eduardo Valle	"Faculty of Electrical and Computing Engineering (FEEC), University of Campinas (UNICAMP)"	https://scholar.google.com/citations?hl=en&user=lxWPqWAAAAAJ	https://twitter.com/dreavjr	https://twitter.com/dreavjr	_eduardo_valle	dreavjr	evallesv	eduardojvalle	Eduardo85411230	eddyvallelobo	_eduardo_valle	j_eduardo_valle	kevin_valle0108	endson_valle	crisvalle4
68	Filip Korzeniowski	Pandora Media	https://scholar.google.com/citations?hl=en&user=p7rD9oMAAAAJ	https://twitter.com/fdelamuerte	https://twitter.com/fdelamuerte	filipkorzen	filipkorzen									
69	Lingni Ma	Facebook Reality Labs	https://scholar.google.com/citations?hl=en&user=eUAgpwkAAAAJ	N/A	N/A	lingnima	lingnima									
70	Dean Slawson	"VP Advanced Technology, PointClickCare"	https://scholar.google.com/citations?hl=en&user=91uZDo0AAAAJ	N/A	N/A	deanslawson	deanslawson									
71	Piotr Kozakowski	University of Warsaw	https://scholar.google.com/citations?hl=en&user=QkYiDCwAAAAJ	N/A	N/A	EmiliaKaminska	EmiliaKaminska									
72	Fabio Cumbo	"Department of Cellular, Computational and Integrative Biology (CIBIO), University of Trento"	https://scholar.google.com/citations?hl=en&user=DJWJY7EAAAAJ	https://twitter.com/cumbofabio	https://twitter.com/cumbofabio	cumbofabio	cumbofabio									
73	Rosalia Maglietta	"Researcher, STIIMA, National Research Council"	https://scholar.google.com/citations?hl=en&user=wSm74SkAAAAJ	N/A	N/A	liamaglietta	liamaglietta									
74	Yaochen Xie	"Ph.D. Student, Texas A&M University"	https://scholar.google.com/citations?hl=en&user=Xw3ZjnMAAAAJ	https://twitter.com/ethan_ycx	https://twitter.com/ethan_ycx	ethan_ycx	ethan_ycx									
75	Bingyi Cao	Google Research	https://scholar.google.com/citations?hl=en&user=7EeSOcgAAAAJ	N/A	N/A	BrundageBot	BrundageBot									
76	Brian Telfer	"Senior Staff Member, MIT Lincoln Laboratory"	https://scholar.google.com/citations?hl=en&user=LOElwBwAAAAJ	https://twitter.com/BrianTelfer5	https://twitter.com/BrianTelfer5	N/A	AllMattNYT									
77	Jose Alberto Perez Benitez	ESIME-SEPI-IPN	https://scholar.google.com/citations?hl=en&user=2i2TyJsAAAAJ	N/A	N/A	carlosruizcrde1	carlosruizcrde1									
78	Antonio Criminisi	Research Manager at Amazon	https://scholar.google.com/citations?hl=en&user=YHmzvmMAAAAJ	N/A	N/A	N/A	MSFTResearchCam									
79	Yue Tong	"OSIsoft, LLC"	https://scholar.google.com/citations?hl=en&user=_JJHW0EAAAAJ	N/A	N/A	yuetongqian	yuetongqian	polaaaaar	sotongyuetong	yue_eveland	tongyue_ivy	Yuetong_240294	yuetong3yu	artofyuetong		
80	Gitta Kutyniok	"Bavarian AI Chair for Mathematical Foundations of Artificial Intelligence, LMU Munich"	https://scholar.google.com/citations?hl=en&user=JHs9LssAAAAJ	https://twitter.com/gittakutyniok	https://twitter.com/gittakutyniok	gittakutyniok	gittakutyniok									
81	Yinan Zhao	University of Texas at Austin	https://scholar.google.com/citations?hl=en&user=6Kyp7rQAAAAJ	N/A	N/A	badhreat	badhreat	zhaoyinan	stevenchao95	TomOrlik						
82	Moshe Lichman	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=K7gF978AAAAJ	N/A	N/A	lichmanmo	lichmanmo	LichmanMo	ReturnAgainPod	shaalvim	simchaspot	ariwaxman	finSMEs			
83	Marta Galende	Researcher ID - CARTIF	https://scholar.google.com/citations?hl=en&user=t4HI79kAAAAJ	https://twitter.com/margal_cartif	https://twitter.com/margal_cartif	margal_cartif	margal_cartif									
84	Mahdad Eghbalian	"Postdoctoral Associate, University of Calgary"	https://scholar.google.com/citations?hl=en&user=BT-GEcUAAAAJ	N/A	N/A	MahdadEghbalian	MahdadEghbalian									
85	Di You	Worcester Polytechnic Institute	https://scholar.google.com/citations?hl=en&user=uWFATKcAAAAJ	N/A	N/A	WPIAdmissions	wpinews	WPIAdmissions	WPIBusiness	WPICommencement	wpi_bme	wpi_ece	wpiparents	wpiesports	wpi_physics	WPI_Library
86	Jerome Kodjabachian	Thales	https://scholar.google.com/citations?hl=en&user=OYto1KIAAAAJ	N/A	N/A	jeromekodja	jeromekodja									
87	Stephen DiVerdi	Adobe	https://scholar.google.com/citations?hl=en&user=G8dMSvAAAAAJ	N/A	N/A	N/A	bala_tk									
88	Md Abdullah Al Hafiz Khan	"Assistant Professor, Department of Compute Science, Kennesaw State University"	https://scholar.google.com/citations?hl=en&user=JFZc5jYAAAAJ	https://twitter.com/ahafizk20	https://twitter.com/ahafizk20	@ahafizk20	@ahafizk20									
89	Gurunath Kedar-Dongarkar	Oakland University	https://scholar.google.com/citations?hl=en&user=JLTRU8UAAAAJ	N/A	N/A	N/A										
90	Hamid Hamraz	Microsoft	https://scholar.google.com/citations?hl=en&user=4tPap1YAAAAJ	N/A	N/A	N/A										
91	David Begert	"Lead Machine Learning Engineer, Xtract ai"	https://scholar.google.com/citations?hl=en&user=iTUn4mUAAAAJ	N/A	N/A	N/A										
92	Scott Martin	Facebook	https://scholar.google.com/citations?hl=en&user=t2_BvUwAAAAJ	N/A	N/A	N/A										
93	Mohammad Moradi	Young Researchers and Elite Club	https://scholar.google.com/citations?hl=en&user=nLm8zfQAAAAJ	https://twitter.com/moradideli	https://twitter.com/moradideli	2221mohammad	moradjava	ISefati	2221mohammad	noterfan	zhoolideh	Mohamma98313465	momoradi57	mohamma28310901	moradideli	Mohamma55134257
94	Ali Saadon Al-Ogaili	Postdoctoral Researcher	https://scholar.google.com/citations?hl=en&user=JxMcRcwAAAAJ	N/A	N/A	saadonogaili	saadonogaili									
95	Michel Tokic	"Siemens AG, Munich"	https://scholar.google.com/citations?hl=en&user=IkrRAAIAAAAJ	N/A	N/A	micheltokic	micheltokic									
96	Giovanni Acampora	"Professor in Computer Science, University of Naples Federico II"	https://scholar.google.com/citations?hl=en&user=VLpaWf8AAAAJ	https://twitter.com/g_acampora	https://twitter.com/g_acampora	GiovanniAcampo7	GiovanniAcampo7	g_acampora	G_Acampora	giovanniacampo7						
97	Berdakh Abibullaev	"School of Engineering and Digital Sciences, Nazarbayev University"	https://scholar.google.com/citations?hl=en&user=KvECkz0AAAAJ	N/A	N/A	N/A										
98	Xi Cheng	"Google, University of Washington"	https://scholar.google.com/citations?hl=en&user=3SSDRtoAAAAJ	https://twitter.com/xicheng33	https://twitter.com/xicheng33	KaimingCheng	KaimingCheng									
99	Alexander Ihler	"University of California, Irvine"	https://scholar.google.com/citations?hl=en&user=ffdt7gMAAAAJ	N/A	N/A	mcaleerstephen	mcaleerstephen									
100	Nassim Ammour	Associate Professor	https://scholar.google.com/citations?hl=en&user=2dHuim4AAAAJ	N/A	N/A	srinivasr1729	lewislehe	pervade_team	SrinivasR1729	AlbertQJiang	nserhanaydin	srinivasr1729				
101	Eugenia Koblents	"Senior Machine Learning Scientist, United Technologies Research Center Ireland"	https://scholar.google.com/citations?hl=en&user=JDb-iDEAAAAJ	N/A	N/A	dirico_io	dirico_io									
102	Luis Castillo	"Full Professor of Computer Science, University of Granada"	https://scholar.google.com/citations?hl=en&user=FJ6klX8AAAAJ	N/A	N/A	N/A	Reds	luisjrcastillo	mluiscastillo	luis_co6	MLBNetwork	lhcb14	reds	luiscastilo16	luiscas35850082	
103	Shikhar Sharma	Microsoft	https://scholar.google.com/citations?hl=en&user=bLA7DYwAAAAJ	https://mobile.twitter.com/shikhar_warlock	N/A	drshikharsharm1	drshikharsharm1									
